Gene,C,Z,Pval,FDR,Module
P3H1,0.037054344639661355,3.7485697264669855,8.892294815690172e-05,0.00010606095462549517,
GGNBP2,0.037396348920527366,3.7481845257246875,8.905959719780438e-05,0.00010621545281013311,
LTA4H,0.04435288126802839,3.747967325435554,8.913673551354292e-05,0.00010629895749865423,
IGLV10-54,0.08158873870376877,3.747736569050071,8.921875707942358e-05,0.00010638827184251125,
DCLK2,0.05793641793494734,3.7475155406886,8.929738739146653e-05,0.00010647352836427996,
BATF,0.057581044059410995,3.747460450320383,8.931699580046167e-05,0.00010648840226146097,
MIR2052HG,0.04273369618552648,3.747233719734309,8.939773903316124e-05,0.00010657615610158917,
AC011498.1,0.06213555474604611,3.7462798356273006,8.973818834393906e-05,0.00010697348166506776,
BMI1,0.04902691829059641,3.745698701791266,8.994619710794678e-05,0.0001072128790409903,
ZNF552,0.03604982282840223,3.7453463874261717,9.007252376983753e-05,0.00010735488360846095,
CXorf40B,0.034385351489183175,3.7452412341126156,9.01102601002409e-05,0.00010739128563004359,
GAMT,0.06008582876994031,3.7448559473249805,9.024865487846162e-05,0.00010754763462963409,
AP001363.2,0.038902643833416656,3.7446434069471635,9.0325084755593e-05,0.00010763012214789947,
ZNF92,0.03705254309150135,3.742439491976717,9.112121172114849e-05,0.00010857010914444313,
C2orf68,0.035716075745325274,3.7422819161552754,9.117838528882182e-05,0.00010862955999730571,
IGHG3,0.060778266983004314,3.7422513869744396,9.118946615524747e-05,0.00010863409108534549,
AL360181.3,0.05347784782105652,3.7405401797048237,9.181259389274495e-05,0.00010936769523876818,
NEFH,0.05819694820009125,3.7401708539312333,9.194760623971912e-05,0.00010951975243196859,
MLX,0.040376367250838346,3.740150867881427,9.19549177483662e-05,0.00010951975243196859,
ULK3,0.041516824427120354,3.739980041488045,9.201743357534338e-05,0.00010958546601078273,
HENMT1,0.04251885371283938,3.739693862977233,9.21222533407423e-05,0.00010970154572136102,
RPP14,0.042439679091392526,3.738919521318439,9.240643764802489e-05,0.00011003118177824405,
