encoding,name,country,director,actor,vote,score,year,link
tt0167261,指环王2：双塔奇兵, 美国 ,彼得·杰克逊,"'伊利亚·伍德', '西恩·奥斯汀', '多米尼克·莫纳汉', '奥兰多·布鲁姆', '维果·莫腾森'",697324,9.2,2002,https://movie.douban.com/subject/1291572/
tt0105323,闻香识女人, 美国,马丁·布莱斯特,"'阿尔·帕西诺', '克里斯·奥唐纳', '詹姆斯·瑞布霍恩', '加布里埃尔·安瓦尔', '菲利普·塞默·霍夫曼'",814428,9.1,1992,https://movie.douban.com/subject/1298624/
tt3700392,海蒂和爷爷, 德国 ,阿兰·葛斯彭纳,"'阿努克·斯特芬', '布鲁诺·冈茨', '昆林·艾格匹', '安娜·申茨', '伊莎贝尔·奥特曼'",521088,9.3,2015,https://movie.douban.com/subject/25958717/
tt0095765,天堂电影院, 意大利 ,朱塞佩·托纳多雷,"'菲利普·努瓦雷', '萨瓦特利·卡西欧', '雅克·贝汉', '马克·莱昂纳蒂', '莱奥波多·特里耶斯泰'",641568,9.2,1988,https://movie.douban.com/subject/1291828/
tt0046250,罗马假日, 美国,威廉·惠勒,"'奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'",894256,9.1,1953,https://movie.douban.com/subject/1293839/
tt0133093,黑客帝国, 美国,莉莉·沃卓斯基,"'基努·里维斯', '劳伦斯·菲什伯恩', '凯瑞-安·莫斯', '雨果·维文', '格洛丽亚·福斯特'",783342,9.1,1999,https://movie.douban.com/subject/1291843/
tt0120737,指环王1：护戒使者, 新西兰 ,彼得·杰克逊,"'伊利亚·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森', '奥兰多·布鲁姆'",787228,9.1,2001,https://movie.douban.com/subject/1291571/
tt0059855,大闹天宫, 中国大陆,万籁鸣,"'邱岳峰', '富润生', '毕克', '尚华', '于鼎'",397946,9.4,1961,https://movie.douban.com/subject/1418019/
tt0097165,死亡诗社, 美国,彼得·威尔,"'罗宾·威廉姆斯', '罗伯特·肖恩·莱纳德', '伊桑·霍克', '乔西·查尔斯', '盖尔·汉森'",659790,9.1,1989,https://movie.douban.com/subject/1291548/
tt0071562,教父2, 美国,弗朗西斯·福特·科波拉,"'阿尔·帕西诺', '罗伯特·杜瓦尔', '黛安·基顿', '罗伯特·德尼罗', '约翰·凯泽尔'",507013,9.3,1974,https://movie.douban.com/subject/1299131/
tt6966692,绿皮书, 美国 ,彼得·法雷里,"'维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫'",1510838,8.9,2018,https://movie.douban.com/subject/27060077/
tt3404140,辩护人, 韩国,杨宇硕,"'宋康昊', '金英爱', '吴达洙', '郭度沅', '任时完'",553537,9.2,2013,https://movie.douban.com/subject/21937445/
tt0110357,狮子王, 美国,罗杰·阿勒斯,"'乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯', '詹姆斯·厄尔·琼斯', '莫伊拉·凯利'",776846,9.1,1994,https://movie.douban.com/subject/1301753/
tt0137523,搏击俱乐部, 美国 ,大卫·芬奇,"'爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特', '扎克·格雷尼尔', '米特·洛夫'",791697,9.0,1999,https://movie.douban.com/subject/1292000/
tt0111797,饮食男女, 中国台湾 ,李安,"'郎雄', '杨贵媚', '吴倩莲', '王渝文', '张艾嘉'",570089,9.2,1994,https://movie.douban.com/subject/1291818/
tt0268978,美丽心灵, 美国,朗·霍华德,"'罗素·克劳', '艾德·哈里斯', '詹妮弗·康纳利', '克里斯托弗·普卢默', '保罗·贝坦尼'",717122,9.1,2001,https://movie.douban.com/subject/1306029/
tt0421715,本杰明·巴顿奇事, 美国,大卫·芬奇,"'凯特·布兰切特', '布拉德·皮特', '朱莉娅·奥蒙德', '芳妮·A·钱勃丝', '伊莱亚斯·科泰斯'",919409,9.0,2008,https://movie.douban.com/subject/1485260/
tt0405094,窃听风暴, 德国,弗洛里安·亨克尔·冯·多纳斯马尔克,"'乌尔里希·穆埃', '马蒂娜·格德克', '塞巴斯蒂安·科赫', '乌尔里希·图库尔', '托马斯·蒂梅'",525928,9.2,2006,https://movie.douban.com/subject/1900841/
