encoding,name,description,country,director,actor,vote,score,year,link
tt1049413,飞屋环游记,"小男孩卡尔（Carl Fredricksen）怀揣着对于冒险的热爱偶遇假小子艾丽（Ellie），而艾丽把整个屋子当成一艘大飞船游戏居然使他对这个女孩子有些着迷，相同的爱好最终使两个人成为了一生的爱侣。..."" ", 美国,彼特·道格特,"'爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '德尔罗伊·林多'",1236994人评价,9.1,2009,https://movie.douban.com/subject/2129039/
tt7362036,我不是药神,"普通中年男子程勇（徐峥 饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君 饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收..."" ", 中国大陆,文牧野,"'徐峥', '王传君', '周一围', '谭卓', '章宇'",1959786人评价,9.0,2018,https://movie.douban.com/subject/26752088/
tt5074352,摔跤吧！爸爸,"马哈维亚（阿米尔·汗 Aamir Khan 饰）曾经是一名前途无量的摔跤运动员，在放弃了职业生涯后，他最大的遗憾就是没有能够替国家赢得金牌。马哈维亚将这份希望寄托在了尚未出生的儿子身上，哪知道妻子接连..."" ", 印度,涅提·蒂瓦里,"'阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃'",1469750人评价,9.0,2016,https://movie.douban.com/subject/26387939/
tt8267604,何以为家,"法庭上，十二岁的男孩赞恩向法官状告他的亲生父母，原因是，他们给了他生命。是什么样的经历让一个孩子做出如此不可思议的举动？故事中，赞恩的父母在无力抚养和教育的状况下依然不停生育，作为家中的长子赞恩，弱小..."" ", 黎巴嫩 ,娜丁·拉巴基,"'赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '卡萨尔·艾尔·哈达德', '法迪·尤瑟夫'",968127人评价,9.1,2018,https://movie.douban.com/subject/30170448/
tt0050083,十二怒汉,"一个在贫民窟长大的18岁少年因为涉嫌杀害自己的父亲被告上法庭，证人言之凿凿，各方面的证据都对他极为不利。十二个不同职业的人组成了这个案件的陪审团，他们要在休息室达成一致的意见，裁定少年是否有罪，如果罪..."" ", 美国,西德尼·吕美特,"'亨利·方达', '马丁·鲍尔萨姆', '约翰·菲德勒', '李·科布', 'E.G.马绍尔'",447170人评价,9.4,1957,https://movie.douban.com/subject/1293182/
tt0347149,哈尔的移动城堡,"继母因无力负担生活，将苏菲和她的两个妹妹都送到了制帽店去当学徒。两个妹妹很快先后就离开了制帽店去追寻各自的梦想，只有苏菲坚持了下来。一天，小镇旁边来了一座移动堡垒，传说堡垒的主人哈尔专吸取年青姑娘的灵..."" ", 日本,宫崎骏,"'倍赏千惠子', '木村拓哉', '美轮明宏', '我修院达也', '神木隆之介'",941117人评价,9.1,2004,https://movie.douban.com/subject/1308807/
tt0454876,少年派的奇幻漂流,"故事开始于蒙特娄，也结束于蒙特娄。一名在找寻灵感的作家（拉菲·斯波 Rafe Spall 饰）无意间得知派·帕帖尔（伊尔凡·可汗 Irrfan Khan 饰）的传奇故事。派的父亲（阿迪勒·侯赛因 Ad..."" ", 美国 ,李安,"'苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布'",1269921人评价,9.1,2012,https://movie.douban.com/subject/1929463/
tt0245929,鬼子来了,"第二次世界大战期间，中国河北挂甲台村的农民马大三（姜文饰）在日本人的统治下过着平静的生活。一个晚上，游击队绑架了日军陆军士兵花屋小三郎（香川照之饰）和翻译董汉臣，把他们捆绑塞入麻袋放在马大三家里，并吩..."" ", 中国大陆,姜文,"'姜文', '香川照之', '袁丁', '姜宏波', '丛志军'",579542人评价,9.3,2000,https://movie.douban.com/subject/1291858/
tt0264464,猫鼠游戏,"弗兰克（莱昂纳多·迪卡普里奥 Leonardo DiCaprio饰）是FBI有史以来年龄最小的通缉犯。他的犯罪手段神通广大，伪装身份的能力超乎常人，全美各地几乎都留下他的犯罪足迹。乔装医生、律师、飞行..."" ", 美国 ,史蒂文·斯皮尔伯格,"'莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯', '马丁·辛', '艾米·亚当斯'",920740人评价,9.1,2002,https://movie.douban.com/subject/1305487/
tt0112778,大话西游之月光宝盒,, 中国香港 ,刘镇伟,"'周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚'",1141916人评价,9.0,1995,https://movie.douban.com/subject/1299398/
