Phylum,Class,Order,Family,Genus,Species
Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis virus
Negarnaviricota,Ellioviricetes,Bunyavirales,Nairoviridae,Orthonairovirus,Vinegar Hill orthonairovirus
Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Orbivirus,Wad Medani virus
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Wesselsbron virus
Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Orbivirus,Wongorr virus
Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Xipapillomavirus,Xipapillomavirus 2
Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Xipapillomavirus,Xipapillomavirus 4
Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Orbivirus,Yonaguni orbivirus
Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Orbivirus,Yunnan orbivirus
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Leporipoxvirus,Myxoma virus
Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Novirhabdovirus,Novirhabdovirus salmonid
Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,Human orthopneumovirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Utinga orthobunyavirus
Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Orbivirus,Changuinola virus
Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus,Punta Toro phlebovirus
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Hawaiian goose poxvirus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Gerrhosaurid herpesvirus 1
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Gerrhosaurid herpesvirus 3
Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Deltacoronavirus,Deltacoronavirus B07
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Bubaline alphaherpesvirus 1
Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykrogvirus,bubaline-associated gemykrogvirus
Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,,Buffalo astrovirus
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Cacipacore virus
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Guaroa orthobunyavirus
Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Picobirnavirus,Picobirnavirus sp.
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Tacaiuma orthobunyavirus
Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,,Water buffalo astrovirus
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus isolate South Korea
Peploviricota,Herviviricetes,Herpesvirales,,,Bubo bubo herpesvirus
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Siadenovirus,Raptor siadenovirus A
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Strigid herpesvirus 1
Negarnaviricota,Monjiviricetes,Mononegavirales,Nyamiviridae,Nyavirus,Nyavirus nyamaniniense
Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,,Sichuan takin astrovirus
Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Sichuan takin enterovirus
Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Brown toad circovirus
Peploviricota,Herviviricetes,Herpesvirales,,,Bufonid herpesvirus 1
,,,,,Dongxihu virus
,,,Kolmioviridae,Deltavirus,Toad HDV-like virus
Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,,Wuhan asiatic toad astrovirus
Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,,Wuhan asiatic toad influenza virus
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus GB
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus ID8501092
