Gene,C,Z,Pval,FDR,Module
AC007225.1,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
AL512271.1,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
AC084026.1,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
AC008937.1,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
DEFB130A,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
AC096667.1,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
KLK3,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
AC013640.1,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
AUXG01000058.1,-0.0014478140774194183,-0.5418414271495862,0.706036125068437,0.844796954628827,
RPS6KB2-AS1,-0.002850469183211687,-0.5419596334668761,0.7060768428513374,0.844796954628827,
A1BG-AS1,-0.0052486698991759135,-0.541978726659199,0.7060834195179251,0.844796954628827,
AL121885.2,-0.0008824372512974589,-0.5424580923189661,0.7062485151255076,0.8448136170493433,
RCCD1,-0.0017248916295933372,-0.542620778639966,0.7063045352438424,0.8448136170493433,
MT-TT,-0.0021917063507593108,-0.5426957685993129,0.706330355948982,0.8448136170493433,
AC140125.2,-0.0011510731951292026,-0.5427283751211787,0.706341582769401,0.8448136170493433,
AC015912.1,-0.001167547216675065,-0.5429196943275161,0.70640745228639,0.8448136170493433,
AL513128.3,-0.002079766228971352,-0.5429299961354617,0.7064109989139948,0.8448136170493433,
NAA30,-0.0022730642287158314,-0.5430586828058024,0.7064553005044196,0.8448136170493433,
AL022322.2,-0.002123453080597038,-0.5431643830780577,0.7064916864964582,0.8448136170493433,
AC110491.2,-0.0016424904150622618,-0.5431695070815902,0.7064934503172757,0.8448136170493433,
LINC02526,-0.0007087292860325462,-0.5433370016744626,0.7065511037901844,0.8448136170493433,
AL035398.1,-0.0007087292860325462,-0.5433370016744626,0.7065511037901844,0.8448136170493433,
ZNF599,-0.0020826724754218783,-0.5434272643685609,0.7065821710224075,0.8448136170493433,
AC114936.3,-0.0016237747153628886,-0.5437382281404082,0.7066891889939929,0.8448136170493433,
AP001062.3,-0.0040410933966867155,-0.543796538602685,0.706709254485842,0.8448136170493433,
AC010273.1,-0.0024604323669772344,-0.5438198814302108,0.7067172869194513,0.8448136170493433,
LOXL4,-0.0009887219772426233,-0.5438332428823333,0.7067218846446354,0.8448136170493433,
AC011498.4,-0.0010379381122302947,-0.5439031868899841,0.7067459520916306,0.8448136170493433,
KRT8P46,-0.000785880767939069,-0.5439953425933399,0.7067776610943979,0.8448136170493433,
TSC1,-0.002158874786479631,-0.544240782530401,0.7068621044949319,0.8448136170493433,
