Gene,C,Z,Pval,FDR,Module
NEU3,0.035287212149157324,1.7571317220657725,0.039447679915256835,0.0535263947217392,
ATAD2,0.0932759985131301,1.756901776841832,0.03946727636993762,0.053542700264497665,
HIF1AN,0.021560450807158633,1.7563420963136414,0.03951500671285662,0.05359715964278402,
EFCAB14,0.05071214325503343,1.755796388801625,0.03956159061529683,0.05364194729247657,
AC006141.1,0.025203629952666354,1.7557773782598172,0.03956321424034583,0.05364194729247657,
TMEM87A,0.03468393267407678,1.7556386058323346,0.03957506795831305,0.05364772213731019,
GNS,0.04020438441276753,1.7552501019725821,0.039608268697649114,0.05368242710671399,
CHODL,0.09216038375954878,1.755143753204653,0.03961736099215283,0.053684450038090845,
FKBP8,0.046767658536594155,1.7550078539503102,0.03962898217760617,0.05368989837027427,
SEPT7,0.033217604890986276,1.7542301632138446,0.03969553836543858,0.05376975704956052,
AC073283.3,0.029375486807980855,1.7539718997616867,0.039717661114636454,0.0537894091475828,
GPALPP1,0.05343556084640417,1.7532047781864846,0.0397834315734042,0.05386815423318522,
SPG11,0.031706430833582,1.7519294093078293,0.03989297341929255,0.05400612576348842,
NADK,0.04571204120669786,1.7516366565790211,0.03991815261032348,0.05402985821792011,
MCPH1,0.039323204546077996,1.7509622029547305,0.03997621044000145,0.05409807481765713,
Z93930.2,0.0380680909311055,1.749671332523486,0.04008752156842003,0.054232637867935536,
BCL3,0.049479638069323886,1.749631022303298,0.04009100154959787,0.054232637867935536,
CADM1,0.1340041082743535,1.7495395486088947,0.040098899383798424,0.05423293609939729,
KLHL8,0.06012533880177647,1.7491781556589707,0.0401301143963784,0.05425339402901961,
KPNB1,0.0263637308013673,1.7491357299655177,0.04013378017447702,0.05425339402901961,
MAP1LC3B,0.037220509486480154,1.7490976994409877,0.040137066420676173,0.05425339402901961,
TMEM170B,0.019009564114597664,1.7486715440960567,0.04017390577598611,0.054285256322880886,
CDK14,0.1566940646117023,1.7486472360235512,0.04017600793545035,0.054285256322880886,
RIC1,0.04873044897685029,1.748014459061182,0.040230761864785504,0.05433963469462304,
AREL1,0.035333197549578366,1.7480043417365836,0.04023163780476762,0.05433963469462304,
CSMD1,0.038871560961167125,1.7478453959194107,0.0402454010846421,0.05434783277803705,
LRRC39,0.027911924831883962,1.747745341840351,0.04025406683029012,0.05434914527698192,
